Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Your rating,Your price,Your review,Personal note,Wine type,Drinking window,Food pairing,Link to wine,Label image
Mezzacorona,Castel Firmian Nosiola Trentino,2012,Trentino,Italy,Northern Italy White,3.6,2014-11-06 18:06,3.0,,Piatto.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/3863192,https://images.vivino.com/labels/01f73dhaf55pn.jpg
Casetto dei Mandorli,Nicolucci Tre Rocche Sangiovese,2013,Emilia-Romagna,Italy,Central Italy Red,3.8,2015-03-01 07:07,3.5,,Legno,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/6589034,https://images.vivino.com/labels/01y2a84jng26u.jpg
,Spumante Demi Sec,2014,,,,4.0,2014-12-31 23:11,4.0,,,,White Wine, - ,Sweet desserts,https://www.vivino.com/wines/14099339,https://images.vivino.com/labels/01pcchueivenz.jpg
Tolloy,Alto Adige Südtirol Gewurztraminer,2014,Alto Adige,Italy,Northern Italy Gewürztraminer,3.7,2015-09-06 10:10,4.0,,Mandarino.,,White Wine, - ,"Pork, Rich fish (salmon, tuna etc), Spicy food, Poultry, Mild and soft cheese",https://www.vivino.com/wines/16216821,https://images.vivino.com/labels/02o5mihq1qt0d.jpg
Muri-Gries,Lagrein Südtirol,2013,Alto Adige,Italy,Northern Italy Red,3.6,2015-03-21 20:08,4.5,,Morbidissimo,,Red Wine, - ,"Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/2182278,https://images.vivino.com/labels/020r774xd7hal.jpg
Abbazia di Novacella,Gaudium Grüner Veltliner,2013,Trentino-Alto Adige,Italy,Austrian Grüner Veltliner,3.7,2014-10-23 17:05,4.0,,Piace molto a S.,,White Wine, - ,"Pork, Vegetarian, Poultry, Lean fish, Cured Meat",https://www.vivino.com/wines/15227797,https://images.vivino.com/labels/01dg1uet6mls8.jpg
,Romagna Sangiovese Superiore,2013,,,,3.0,2015-04-15 17:05,3.0,,Sa un po' troppo di legno.,,Red Wine, - ,"Beef, Veal, Pork, Game (deer, venison), Mature and hard cheese, Poultry",https://www.vivino.com/wines/20967109,https://images.vivino.com/labels/024cklvluqnzu.jpg
Piccione,Spumante Rosé Brut,,Abruzzo,Italy,,3.3,2014-12-20 19:07,3.5,,,,Sparkling, - ,"",https://www.vivino.com/wines/11023221,https://images.vivino.com/labels/01lq94enkaciu.jpg
Querciola,Romagna Albana Secco,2014,Romagna Albana Spumante,Italy,Central Italy Red,3.0,2015-09-16 13:01,3.0,,Secco.,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/36046103,https://images.vivino.com/labels/02pjnrzrtpqlm.jpg
Girlan,Pasithea Oro Gewürztraminer,2011,Alto Adige,Italy,Northern Italy Gewürztraminer,4.5,2014-12-31 23:11,4.5,,Miele.,,Dessert Wine, - ,"Pork, Rich fish (salmon, tuna etc), Spicy food, Poultry, Mild and soft cheese",https://www.vivino.com/wines/2797583,https://images.vivino.com/labels/01pcehzzbmbdh.jpg
Margherita Bidoli,Friuli Merlot,,Friuli-Venezia Giulia,Italy,Northern Italy Red,3.4,2015-11-01 18:06,3.5,,Semplice e buono.,,Red Wine, - ,"Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/3188897,https://images.vivino.com/labels/FOS4VtNDQxiZzO9h0B4BzQ.jpg
Còlpetrone,Montefalco Sagrantino,2010,Montefalco Sagrantino,Italy,Central Italy Red,3.8,2016-01-05 12:12,4.0,,Armonico. Bevuto la sera del 4 gennaio 2016.,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/4200944,https://images.vivino.com/labels/RY_fUxIoSAmgFezIgGUkCA.jpg
Fondo Ca Vecia,Due Pievi Vino Bianco,2014,,,,3.8,2016-05-14 11:13,,,,,Red Wine, - ,"",https://www.vivino.com/wines/118023352,https://images.vivino.com/labels/a8CnkF-UStOJyCXCENAKwg.jpg
Fondo Ca Vecia,Plebe St Andree Chardonnay,2015,,,,4.0,2016-06-02 10:10,4.0,,Leggero ricordo di melone,,White Wine, - ,"Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/143811172,https://images.vivino.com/labels/JdEBfX1fT0-9cAMjZmq6Lg.jpg
Tre Monti,Campo di Mezzo Superiore Sangiovese,2013,Emilia-Romagna,Italy,Central Italy Red,3.3,2014-10-25 19:07,4.0,,Ciliegia,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/4032714,https://images.vivino.com/labels/01dsfhdm7qm45.jpg
Umberto Cesari,Tauleto Sangiovese,2007,Sangiovese di Romagna,Italy,Central Italy Red,4.4,2015-09-19 18:06,4.0,,Ciliegia,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/1745563,https://images.vivino.com/labels/02q11qindc8gw.jpg
